CustomerID,Recency,Frequency,MonetaryValue,Recency_scaled,Frequency_scaled,MonetaryValue_scaled
12346.0,325,2,0.0,2.32202284596252,-0.3917197011266855,-0.23100098872223704
12347.0,1,182,4310.0,-0.8937332316580672,0.3826569671694232,0.2934316661932754
12348.0,74,31,1797.24,-0.16919559688552746,-0.2669590156789791,-0.01231622196577404
12349.0,18,73,1757.55,-0.7250052893137771,-0.08627112640988709,-0.01714562615918395
12350.0,309,17,334.4,2.1632200766973058,-0.3271883121020098,-0.19031182867496388
12352.0,35,95,1545.41,-0.556277346969487,0.008374910826303986,-0.0429584204547238
12353.0,203,4,89.0,1.1111517303152618,-0.38311551592339543,-0.22017163691539698
12354.0,231,58,1079.4,1.3890565765293867,-0.15080251543456283,-0.09966163658399942
12355.0,213,13,459.4,1.2104034611060206,-0.34439668250859,-0.17510206490131214
12356.0,22,59,2811.43,-0.6853045969974735,-0.14650042283291775,0.1110885006070249
12357.0,32,131,6207.67,-0.5860528662067147,0.16325024448552575,0.5243365655560411
12358.0,1,19,1168.06,-0.8937332316580672,-0.31858412689871973,-0.08887365533462371
12359.0,7,254,6245.53,-0.8341821931836119,0.6924076344878668,0.5289432988078048
12360.0,51,129,2662.06,-0.39747457770427286,0.15464605928223565,0.09291344128806202
12361.0,286,10,189.9,1.9349410958785604,-0.35730296031352515,-0.20789431559730528
12362.0,2,274,5154.58,-0.8838080585789913,0.7784494865207677,0.39619856449688173
12363.0,109,23,552.0,0.17818546088212855,-0.30137575649213955,-0.16383467189779088
12364.0,7,85,1313.1,-0.8341821931836119,-0.0346460151901465,-0.07122546223278012
12365.0,290,23,320.69,1.9746417881948641,-0.30137575649213955,-0.19198003556565799
12367.0,3,11,168.9,-0.8738828854999153,-0.3530008677118801,-0.21044955591127879
12370.0,50,167,3545.69,-0.4073997507833487,0.3181255781447475,0.2004318697945572
12371.0,44,63,1887.96,-0.46695078925780403,-0.12929205242633757,-0.0012775838094085412
12372.0,71,52,1298.04,-0.19897111612275512,-0.1766150710444331,-0.07305793457222969
12373.0,310,14,364.6,2.1731452497763817,-0.34009458990694497,-0.1866371497472496
12374.0,24,33,742.9300000000001,-0.6654542508393217,-0.258354830475689,-0.14060267031936424
12375.0,2,18,455.42,-0.8838080585789913,-0.3228862195003648,-0.17558634377986518
12377.0,314,77,1628.12,2.2128459420926854,-0.06906275600330689,-0.032894423960973924
12378.0,129,219,4008.62,0.37668892246364627,0.54183439343029,0.25676031734445004
12379.0,81,41,850.29,-0.09971938533199626,-0.22393808966252865,-0.12753930840945024
12380.0,21,105,2720.56,-0.6952297700765494,0.05139583684275447,0.10003161073413103
12381.0,4,91,1803.96,-0.8639577124208395,-0.008833459580276209,-0.011498545065302518
12383.0,184,100,1839.31,0.92257344181282,0.02988537383452923,-0.0071972238701138135
12384.0,28,30,566.16,-0.6257535585230182,-0.27126110828062416,-0.1621117098575116
12386.0,337,10,401.9,2.4411249229114307,-0.35730296031352515,-0.18209855623719193
12388.0,15,100,2780.66,-0.7547808085510047,0.02988537383452923,0.10734446515650278
12390.0,79,32,549.84,-0.11956973149014803,-0.26265692307733407,-0.16409749661579962
12391.0,21,100,460.89,-0.6952297700765494,0.02988537383452923,-0.17492076451713018
12393.0,71,64,1582.6000000000001,-0.19897111612275512,-0.12498995982469252,-0.03843321153678692
12394.0,63,27,1272.48,-0.2783725007553622,-0.2841673860855593,-0.07616802706866599
12395.0,15,159,2998.28,-0.7547808085510047,0.2837088373315871,0.13382405549587958
12397.0,35,126,2409.9,-0.556277346969487,0.14173978147730049,0.062231089022749826
12398.0,45,85,1635.6599999999999,-0.45702561617872817,-0.0346460151901465,-0.03197697101014726
12399.0,118,59,1108.65,0.2675120185938115,-0.14650042283291775,-0.0961025518609649
12401.0,302,5,84.3,2.0937438651437748,-0.3788134233217504,-0.2207435240332863
12402.0,322,11,225.6,2.2922473267252923,-0.3530008677118801,-0.20355040706355035
12403.0,49,6,409.7,-0.4173249238624246,-0.37451133072010534,-0.18114946697771606
12405.0,148,54,1710.39,0.5652672109660881,-0.16801088584114302,-0.022883965835707266
12406.0,21,108,3280.75,-0.6952297700765494,0.06430211464768962,0.16819447128102682
12407.0,49,77,1708.1200000000001,-0.4173249238624246,-0.06906275600330689,-0.02316017514583678
12408.0,32,113,2842.57,-0.5860528662067147,0.08581257765591487,0.11487755695831706
12409.0,78,114,11056.93,-0.1294949045692239,0.09011467025755991,1.114385358172189
12410.0,300,28,681.0799999999999,2.073893518985623,-0.27986529348391426,-0.14812846143456715
12412.0,74,61,1226.88,-0.16919559688552746,-0.13789623762962766,-0.08171654889329413
12413.0,66,40,694.15,-0.24859698151813456,-0.2282401822641737,-0.14653812853439413
12414.0,216,18,562.41,1.2401789803432484,-0.3228862195003648,-0.16256800277072117
12415.0,23,778,123725.45,-0.6753794239183977,2.9467041577498723,14.82367794958785
12417.0,2,198,3578.8,-0.8838080585789913,0.451490448795744,0.20446063202292208
12418.0,112,34,668.58,0.2079609801193562,-0.254052737874044,-0.1496494378119323
12420.0,63,29,600.39,-0.2783725007553622,-0.2755632008822692,-0.15794666814573483
12421.0,15,46,806.27,-0.7547808085510047,-0.2024276266543034,-0.13289557881997946
12422.0,95,39,803.5600000000001,0.03923303777506615,-0.23254227486581874,-0.1332253264985922
12423.0,0,126,1849.11,-0.903658404737143,0.14173978147730049,-0.006004778390259522
12424.0,162,30,1760.96,0.7042196340731505,-0.27126110828062416,-0.01673070380343872
12425.0,77,36,777.2,-0.1394200776482998,-0.24544855267075388,-0.1364327614831799
12426.0,194,30,582.73,1.021825172603579,-0.27126110828062416,-0.16009550357167635
12427.0,11,35,708.37,-0.7944815008673083,-0.24975064527239893,-0.1448078658075035
12428.0,25,300,7877.2,-0.6555290777602458,0.8903038941635391,0.7274818208602396
12429.0,8,97,3750.4,-0.8242570201045359,0.016979096029594083,0.2253405957313912
12430.0,42,11,256.4,-0.4868011354159558,-0.3530008677118801,-0.19980272126972257
12431.0,35,240,6416.39,-0.556277346969487,0.6321783380648361,0.549733220714734
12432.0,42,108,5059.32,-0.4868011354159558,0.06430211464768962,0.3846075077202572
